,overview,title,original_title,popularity,release_date,vote_count,vote_average,original_language
0,"After being resurrected by a sinister entity, Art the Clown returns to Miles County where he must hunt down and destroy a teenage girl and her younger brother on Halloween night.  As the body count rises, the siblings fight to stay alive while uncovering the true nature of Art's evil intent.",Terrifier 2,Terrifier 2,7866.782,2022-10-06,445,7.1,en
1,"Nearly 5,000 years after he was bestowed with the almighty powers of the Egyptian gods—and imprisoned just as quickly—Black Adam is freed from his earthly tomb, ready to unleash his unique form of justice on the modern world.",Black Adam,Black Adam,4428.609,2022-10-19,905,6.9,en
2,"In this sequel to ""47 Ronin,"" a new class of warriors emerges among the Samurai clans to keep a sought-after sword from falling into the wrong hands.",Blade of the 47 Ronin,Blade of the 47 Ronin,3821.739,2022-10-25,47,6.7,en
3,"On Halloween night, a young woman finds herself as the obsession of a sadistic murderer known as Art the Clown.",Terrifier,Terrifier,3031.419,2016-10-15,889,6.6,en
4,"Forced to travel with her boyfriend to a horror festival, Laine begins to experience disturbing visions associated with the urban legend of The Creeper. As the festival arrives and the blood-soaked entertainment builds to a frenzy, she becomes the center of it while something unearthly has been summoned.",Jeepers Creepers: Reborn,Jeepers Creepers: Reborn,2184.802,2022-09-15,430,5.7,en
5,"A group of teenagers must face a zombie apocalypse, and help reestablish order.",MexZombies,MexZombies,2784.235,2022-10-26,49,7.3,es
6,"For best friends Becky and Hunter, life is all about conquering fears and pushing limits. But after they climb 2,000 feet to the top of a remote, abandoned radio tower, they find themselves stranded with no way down. Now Becky and Hunter’s expert climbing skills will be put to the ultimate test as they desperately fight to survive the elements, a lack of supplies, and vertigo-inducing heights",Fall,Fall,2350.808,2022-08-11,1650,7.3,en
7,"29 years since the Black Flame Candle was last lit, the 17th-century Sanderson sisters are resurrected, and they are looking for revenge. Now it's up to three high school students to stop the ravenous witches from wreaking a new kind of havoc on Salem before dawn on All Hallow's Eve.",Hocus Pocus 2,Hocus Pocus 2,1959.906,2022-09-27,1036,7.6,en
8,"After witnessing a brutal murder on Halloween night, a young woman becomes the next target of a maniacal entity.",Terrifier,Terrifier,1969.59,2011-08-09,42,6.5,en
9,"After escaping from an Estonian psychiatric facility, Leena Klammer travels to America by impersonating Esther, the missing daughter of a wealthy family. But when her mask starts to slip, she is put against a mother who will protect her family from the murderous “child” at any cost.",Orphan: First Kill,Orphan: First Kill,2009.304,2022-07-27,1243,6.8,en
10,"After depleting Earth's resources for centuries, humankind's survival requires an exodus to outer space. An international expedition is quickly formed to find a suitable new planet, but when plans go awry, the crew is suddenly stranded without power on a strange planet, where something unimaginable lies in wait.",Project Gemini,Звёздный разум,1881.821,2022-01-06,153,5.6,en
11,A bullied overweight teenager sees a glimpse of hope when her tormentors are brutally abducted by a mesmerizing stranger.,Piggy,Cerdita,1551.583,2022-10-07,167,6.8,es
12,"Despite his family’s baffling generations-old ban on music, Miguel dreams of becoming an accomplished musician like his idol, Ernesto de la Cruz. Desperate to prove his talent, Miguel finds himself in the stunning and colorful Land of the Dead following a mysterious chain of events. Along the way, he meets charming trickster Hector, and together, they set off on an extraordinary journey to unlock the real story behind Miguel's family history.",Coco,Coco,1298.384,2017-10-27,16442,8.2,en
13,"In the follow-up to ""The Battle At Lake Changjin"", brothers Wu Qianli and Wu Wanli undertake a new task for the People's Volunteer Army, defending a bridge part of the American troops' escape route from the advancing Chinese.",The Battle at Lake Changjin: Water Gate Bridge,长津湖之水门桥,1612.433,2022-02-01,23,6.4,zh
14,"Unlucky assassin Ladybug is determined to do his job peacefully after one too many gigs gone off the rails. Fate, however, may have other plans, as Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe—all with connected, yet conflicting, objectives—on the world's fastest train.",Bullet Train,Bullet Train,1641.214,2022-07-03,2208,7.5,en
15,A wooden puppet embarks on a thrilling adventure to become a real boy.,Pinocchio,Pinocchio,1605.793,2022-09-07,1025,6.7,en
16,"The Elric brothers’ long and winding journey comes to a close in this epic finale, where they must face off against an unworldly, nationwide threat.",Fullmetal Alchemist: The Final Alchemy,鋼の錬金術師 完結編 最後の錬成,1682.088,2022-06-24,113,6.3,ja
17,Best friends Sophie and Agatha navigate an enchanted school for young heroes and villains — and find themselves on opposing sides of the battle between good and evil.,The School for Good and Evil,The School for Good and Evil,1489.276,2022-10-19,502,7.3,en
18,"Caleb, a former government assassin in hiding, who resurfaces when his protégé, the equally deadly killer known as Banshee, discovers a bounty has been placed on Caleb's head.",Code Name Banshee,Code Name Banshee,1531.732,2022-07-01,42,5.0,en
19,"After his retirement is interrupted by Gorr the God Butcher, a galactic killer who seeks the extinction of the gods, Thor Odinson enlists the help of King Valkyrie, Korg, and ex-girlfriend Jane Foster, who now wields Mjolnir as the Mighty Thor. Together they embark upon a harrowing cosmic adventure to uncover the mystery of the God Butcher’s vengeance and stop him before it’s too late.",Thor: Love and Thunder,Thor: Love and Thunder,1538.425,2022-07-06,4534,6.7,en
