,Intenship_program_type,Age,Country,Region,Current_Ooccupation, Enrollment_In_Upskilling_Courses ,What is your preferred method of communication?WP/Insta/LinkedIn,Hours_Per_Week,communication_language_preferred,where_did_you_come_to_know_about_this_internship
0,"Product Marketing,Product Growth ",23,Algeria,MENo,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",20-25 hours,"english,french,arabic",linkedin
1,"Product Marketing,Product Growth ,Product Design",23,Algeria,MENo,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,Email",10-15 hours,english  ,linkedin
2,Product Design,34,ArgentiNo,Americas,Employed, Yes- I have completed multiple such courses ,"Email,LinkedIn,WhatsApp",15-20 hours,"english,spanish ",referral
3,Product Design,38,ArgentiNo,Americas,Employed, Yes- I have completed multiple such courses ,"WhatsApp,Email",20-25 hours,spanish  ,linkedin
4,Product Marketing,22,ArgentiNo,Americas,Recently Graduated and Unemployed, No- I have not ,WhatsApp,20-25 hours,spanish  ,linkedin
5,"Product Growth ,Product Development",21,ArgentiNo,Americas,University Student, No- I have not ,"Email,WhatsApp",10-15 hours,english  ,linkedin
6,"Product Design,Product Marketing",34,ArgentiNo,Americas,Employed, Yes- I have completed multiple such courses ,"Email,WhatsApp,LinkedIn",10-15 hours,None  ,linkedin
7,"Product Design,Product Development",25,Armenia,Europe,Currently Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,Email,LinkedIn",10-15 hours,english  ,referral
8,Product Design,24,Armenia,Europe,Recently Graduated and Unemployed, Yes- I have completed multiple such courses ,"WhatsApp,LinkedIn",20-25 hours,english  ,linkedin
9,Product Design,33,Autriche,Europe,Currently Unemployed, I have started a few- but haven't really gotten much out of them/haven't completed any ,Email,10-15 hours,french  ,referral
10,Product Design,19,Azerbaijan,Europe,University Student, Yes- I have completed multiple such courses ,LinkedIn,15-20 hours,english  ,referral
